Tamano,Linear,Binary,Jump,Memoria_Bytes
1000,98,48,396,4000
6000,37,23,733,24000
11000,36,25,923,44000
16000,30,26,1077,64000
21000,30,26,1230,84000
26000,30,25,1334,104000
31000,35,25,1444,124000
36000,29,36,1554,144000
41000,49,25,1667,164000
46000,37,34,1755,184000
51000,30,38,1802,204000
56000,60,41,1885,224000
61000,48,42,2010,244000
66000,48,40,2107,264000
71000,49,34,2174,284000
76000,60,42,2175,304000
81000,40,29,1914,324000
86000,41,19,1956,344000
91000,43,21,2008,364000
96000,39,20,2069,384000
